event_id,customer_id,session_id,event_ts,event_type,device
12331,10510,s3000010,2026-08-01 06:12:39,page_view,mobile
12332,10138,s3000011,2026-08-01 20:33:36,page_view,desktop
12333,10138,s3000011,2026-08-01 20:35:19,page_view,desktop
12334,10138,s3000011,2026-08-01 20:37:16,page_view,desktop
12335,10138,s3000011,2026-08-01 20:38:53,page_view,desktop
12336,10375,s3000012,2026-08-01 20:05:06,page_view,mobile
12337,10375,s3000012,2026-08-01 20:06:42,page_view,mobile
12338,10091,s3000013,2026-08-01 16:29:25,page_view,desktop
12339,,s3000014,2026-08-01 12:18:26,page_view,desktop
12340,,s3000014,2026-08-01 12:19:27,page_view,desktop
12341,,s3000014,2026-08-01 12:19:48,page_view,desktop
12342,,s3000014,2026-08-01 12:20:43,page_view,desktop
12343,10668,s3000015,2026-08-01 13:53:34,page_view,tablet
12344,10668,s3000015,2026-08-01 13:54:57,page_view,tablet
12345,10668,s3000015,2026-08-01 13:55:53,add_to_cart,tablet
12346,10366,s3000016,2026-08-01 18:17:10,page_view,mobile
12347,,s3000017,2026-08-01 02:07:03,page_view,mobile
12348,,s3000017,2026-08-01 02:07:32,page_view,mobile
12349,10214,s3000018,2026-08-01 13:57:43,page_view,tablet
12350,10214,s3000018,2026-08-01 13:59:03,page_view,tablet
12351,10214,s3000018,2026-08-01 14:00:30,page_view,tablet
12352,10214,s3000018,2026-08-01 14:01:20,add_to_cart,tablet
12353,10379,s3000019,2026-08-01 05:13:50,page_view,tablet
12354,10379,s3000019,2026-08-01 05:15:27,page_view,tablet
12355,10379,s3000019,2026-08-01 05:17:21,add_to_cart,tablet
12356,,s3000020,2026-08-01 09:49:04,page_view,desktop
12357,10071,s3000021,2026-08-01 07:01:32,page_view,desktop
12358,10071,s3000021,2026-08-01 07:02:43,page_view,desktop
12359,10071,s3000021,2026-08-01 07:04:09,page_view,desktop
12360,10216,s3000022,2026-08-01 04:41:27,page_view,desktop
12361,10216,s3000022,2026-08-01 04:42:29,page_view,desktop
12362,10216,s3000022,2026-08-01 04:44:08,page_view,desktop
12363,10216,s3000022,2026-08-01 04:45:48,add_to_cart,desktop
12364,10216,s3000022,2026-08-01 04:47:47,begin_checkout,desktop
12365,,s3000023,2026-08-01 12:56:33,page_view,desktop
12366,,s3000023,2026-08-01 12:58:27,page_view,desktop
12367,,s3000024,2026-08-01 12:40:49,page_view,desktop
12368,,s3000024,2026-08-01 12:41:06,page_view,desktop
12369,,s3000024,2026-08-01 12:42:18,page_view,desktop
12370,,s3000024,2026-08-01 12:43:40,page_view,desktop
12371,,s3000025,2026-08-01 10:32:59,page_view,desktop
12372,,s3000025,2026-08-01 10:34:51,page_view,desktop
12373,,s3000025,2026-08-01 10:35:15,page_view,desktop
12374,,s3000025,2026-08-01 10:37:13,page_view,desktop
12375,10133,s3000026,2026-08-01 15:24:19,page_view,desktop
12376,10133,s3000026,2026-08-01 15:25:28,page_view,desktop
12377,10680,s3000027,2026-08-01 13:14:40,page_view,desktop
12378,10680,s3000027,2026-08-01 13:15:55,page_view,desktop
12379,10680,s3000027,2026-08-01 13:16:13,page_view,desktop
12380,10680,s3000027,2026-08-01 13:17:02,add_to_cart,desktop
12381,,s3000028,2026-08-01 10:36:26,page_view,mobile
12382,,s3000028,2026-08-01 10:36:36,page_view,mobile
12383,,s3000029,2026-08-01 01:54:56,page_view,Mobile
12384,10079,s3000030,2026-08-01 05:15:48,page_view,mobile
12385,10025,s3000031,2026-08-01 00:23:35,page_view,mobile
12386,10025,s3000031,2026-08-01 00:24:44,page_view,mobile
12387,10025,s3000031,2026-08-01 00:25:07,add_to_cart,mobile
12388,10025,s3000031,2026-08-01 00:26:50,begin_checkout,mobile
12389,10025,s3000031,2026-08-01 00:28:45,purchase,mobile
12390,,s3000032,2026-08-01 20:07:31,page_view,mobile
12391,,s3000032,2026-08-01 20:08:32,page_view,mobile
12392,,s3000032,2026-08-01 20:09:41,page_view,mobile
12393,10395,s3000033,2026-08-01 02:57:02,page_view,desktop
12394,10395,s3000033,2026-08-01 02:58:52,page_view,desktop
12395,10395,s3000033,2026-08-01 02:59:14,page_view,desktop
12396,10395,s3000033,2026-08-01 03:01:12,page_view,desktop
12397,10020,s3000034,2026-08-01 06:08:11,page_view,Desktop
12398,10067,s3000035,2026-08-01 08:05:24,page_view,mobile
12399,10067,s3000035,2026-08-01 08:06:59,page_view,mobile
12400,10067,s3000035,2026-08-01 08:07:31,page_view,mobile
12401,10067,s3000035,2026-08-01 08:09:23,page_view,mobile
12402,10067,s3000035,2026-08-01 08:10:11,add_to_cart,mobile
12403,10067,s3000035,2026-08-01 08:11:13,begin_checkout,mobile
12404,10696,s3000036,2026-08-01 13:28:04,page_view,desktop
12405,10696,s3000036,2026-08-01 13:28:50,page_view,desktop
12406,10682,s3000037,2026-08-01 09:45:18,page_view,mobile
12407,10682,s3000037,2026-08-01 09:46:19,page_view,mobile
12408,10682,s3000037,2026-08-01 09:46:25,page_view,mobile
12409,10640,s3000038,2026-08-01 07:41:30,page_view,mobile
12410,10640,s3000038,2026-08-01 07:42:19,add_to_cart,mobile
12411,,s3000039,2026-08-01 04:49:24,page_view,desktop
12412,10373,s3000040,2026-08-01 01:27:37,page_view,mobile
12413,10373,s3000040,2026-08-01 01:28:23,page_view,mobile
12414,10373,s3000040,2026-08-01 01:28:28,add_to_cart,mobile
12415,10373,s3000040,2026-08-01 01:29:34,begin_checkout,mobile
12416,10373,s3000040,2026-08-01 01:30:41,purchase,mobile
12417,10085,s3000041,2026-08-01 14:43:16,page_view,tablet
12418,10085,s3000041,2026-08-01 14:43:45,page_view,tablet
12419,10085,s3000041,2026-08-01 14:43:58,page_view,tablet
12420,,s3000042,2026-08-01 01:20:16,page_view,mobile
12421,,s3000042,2026-08-01 01:22:01,page_view,mobile
12422,,s3000042,2026-08-01 01:24:00,add_to_cart,mobile
12423,,s3000042,2026-08-01 01:24:19,begin_checkout,mobile
12424,10607,s3000043,2026-08-01 10:18:32,page_view,mobile
12425,10607,s3000043,2026-08-01 10:20:00,page_view,mobile
12426,10607,s3000043,2026-08-01 10:20:21,page_view,mobile
12427,10607,s3000043,2026-08-01 10:21:06,page_view,mobile
12428,10132,s3000044,2026-08-01 00:41:44,page_view,desktop
12429,10132,s3000044,2026-08-01 00:42:35,page_view,desktop
12430,10132,s3000044,2026-08-01 00:44:04,page_view,desktop
12431,10384,s3000045,2026-08-01 13:29:06,page_view,desktop
12432,10384,s3000045,2026-08-01 13:29:41,page_view,desktop
12433,10384,s3000045,2026-08-01 13:29:55,page_view,desktop
12434,10273,s3000046,2026-08-01 10:45:25,page_view,mobile
12435,10273,s3000046,2026-08-01 10:45:51,page_view,mobile
12436,10273,s3000046,2026-08-01 10:46:50,page_view,mobile
12437,,s3000047,2026-08-01 05:12:27,page_view,desktop
12438,,s3000047,2026-08-01 05:14:22,page_view,desktop
12439,,s3000047,2026-08-01 05:16:13,page_view,desktop
12440,10642,s3000048,2026-08-01 18:19:50,page_view,desktop
12441,10642,s3000048,2026-08-01 18:20:53,page_view,desktop
12442,10642,s3000048,2026-08-01 18:21:04,page_view,desktop
12443,10642,s3000048,2026-08-01 18:21:22,add_to_cart,desktop
12444,,s3000049,2026-08-01 11:28:12,page_view,desktop
12445,,s3000049,2026-08-01 11:28:37,page_view,desktop
12446,,s3000049,2026-08-01 11:30:11,page_view,desktop
12447,,s3000049,2026-08-01 11:31:48,page_view,desktop
12448,,s3000050,2026-08-01 17:40:04,page_view,desktop
12449,,s3000050,2026-08-01 17:41:37,page_view,desktop
12450,,s3000050,2026-08-01 17:43:34,add_to_cart,desktop
12451,,s3000050,2026-08-01 17:45:06,begin_checkout,desktop
12452,,s3000050,2026-08-01 17:46:25,purchase,desktop
12453,10538,s3000051,2026-08-02 14:48:36,page_view,mobile
12454,10538,s3000051,2026-08-02 14:49:27,add_to_cart,mobile
12455,10538,s3000051,2026-08-02 14:51:15,begin_checkout,mobile
12456,10457,s3000052,2026-08-02 04:37:07,page_view,desktop
12457,10457,s3000052,2026-08-02 04:37:25,page_view,desktop
12458,10457,s3000052,2026-08-02 04:38:58,page_view,desktop
12459,10457,s3000052,2026-08-02 04:40:33,page_view,desktop
12460,,s3000053,2026-08-02 18:06:35,page_view,Desktop
12461,,s3000053,2026-08-02 18:07:48,page_view,Desktop
12462,,s3000053,2026-08-02 18:09:46,page_view,Desktop
12463,,s3000053,2026-08-02 18:11:36,page_view,Desktop
12464,,s3000054,2026-08-02 00:09:46,page_view,tablet
12465,10495,s3000055,2026-08-02 03:49:58,page_view,desktop
12466,10622,s3000056,2026-08-02 06:48:26,page_view,mobile
12467,10622,s3000056,2026-08-02 06:50:19,page_view,mobile
12468,,s3000057,2026-08-02 02:00:30,page_view,tablet
12469,,s3000057,2026-08-02 02:00:35,page_view,tablet
12470,,s3000057,2026-08-02 02:00:50,page_view,tablet
12471,,s3000057,2026-08-02 02:01:51,add_to_cart,tablet
12472,,s3000057,2026-08-02 02:02:33,begin_checkout,tablet
12473,10657,s3000058,2026-08-02 15:30:21,page_view,tablet
12474,10657,s3000058,2026-08-02 15:31:22,add_to_cart,tablet
12475,10657,s3000058,2026-08-02 15:32:47,begin_checkout,tablet
12476,10657,s3000058,2026-08-02 15:33:26,purchase,tablet
12477,10525,s3000059,2026-08-02 00:07:12,page_view,mobile
12478,10525,s3000059,2026-08-02 00:07:43,page_view,mobile
12479,10525,s3000059,2026-08-02 00:08:47,page_view,mobile
12480,10675,s3000060,2026-08-02 11:43:14,page_view,desktop
12481,10675,s3000060,2026-08-02 11:43:17,page_view,desktop
12482,10675,s3000060,2026-08-02 11:44:07,page_view,desktop
12483,10675,s3000060,2026-08-02 11:44:43,page_view,desktop
12484,10168,s3000061,2026-08-02 13:19:28,page_view,desktop
12485,10168,s3000061,2026-08-02 13:20:03,page_view,desktop
12486,,s3000062,2026-08-02 07:04:15,page_view,mobile
12487,,s3000062,2026-08-02 07:04:59,page_view,mobile
12488,,s3000062,2026-08-02 07:05:54,page_view,mobile
12489,,s3000062,2026-08-02 07:06:24,add_to_cart,mobile
12490,10668,s3000063,2026-08-02 13:17:56,page_view,mobile
12491,10668,s3000063,2026-08-02 13:18:50,add_to_cart,mobile
12492,10447,s3000064,2026-08-02 16:53:44,page_view,mobile
12493,10447,s3000064,2026-08-02 16:54:43,page_view,mobile
12494,10447,s3000064,2026-08-02 16:55:40,page_view,mobile
12495,10480,s3000065,2026-08-02 14:45:17,page_view,desktop
12496,10480,s3000065,2026-08-02 14:45:32,page_view,desktop
12497,10480,s3000065,2026-08-02 14:46:27,page_view,desktop
12498,,s3000066,2026-08-02 07:01:01,page_view,desktop
12499,10685,s3000067,2026-08-02 02:23:13,page_view,desktop
12500,10685,s3000067,2026-08-02 02:24:31,add_to_cart,desktop
12501,10685,s3000067,2026-08-02 02:25:50,begin_checkout,desktop
12502,10165,s3000068,2026-08-02 17:43:18,page_view,tablet
12503,10165,s3000068,2026-08-02 17:43:22,page_view,tablet
12504,10165,s3000068,2026-08-02 17:44:48,page_view,tablet
12505,,s3000069,2026-08-02 05:18:21,page_view,mobile
12506,10350,s3000070,2026-08-02 12:25:05,page_view,tablet
12507,10350,s3000070,2026-08-02 12:26:35,page_view,tablet
12508,10350,s3000070,2026-08-02 12:27:52,page_view,tablet
12509,10350,s3000070,2026-08-02 12:29:40,page_view,tablet
12510,10350,s3000070,2026-08-02 12:30:01,add_to_cart,tablet
12511,,s3000071,2026-08-02 06:35:14,page_view,desktop
12512,,s3000071,2026-08-02 06:36:58,page_view,desktop
12513,,s3000071,2026-08-02 06:37:15,add_to_cart,desktop
12514,,s3000071,2026-08-02 06:37:51,begin_checkout,desktop
12515,,s3000071,2026-08-02 06:39:50,purchase,desktop
12516,,s3000072,2026-08-02 09:36:53,page_view,desktop
12517,,s3000072,2026-08-02 09:38:37,page_view,desktop
12518,,s3000072,2026-08-02 09:40:07,page_view,desktop
12519,,s3000072,2026-08-02 09:40:13,page_view,desktop
12520,10434,s3000073,2026-08-02 14:01:16,page_view,mobile
12521,10434,s3000073,2026-08-02 14:01:43,add_to_cart,mobile
12522,10434,s3000073,2026-08-02 14:03:30,begin_checkout,mobile
12523,10434,s3000073,2026-08-02 14:03:49,purchase,mobile
12524,10141,s3000074,2026-08-02 07:27:01,page_view,desktop
12525,10141,s3000074,2026-08-02 07:27:07,page_view,desktop
12526,10141,s3000074,2026-08-02 07:28:19,page_view,desktop
12527,10141,s3000074,2026-08-02 07:28:53,add_to_cart,desktop
12528,10141,s3000074,2026-08-02 07:28:57,begin_checkout,desktop
12529,,s3000075,2026-08-02 21:57:09,page_view,tablet
12530,,s3000075,2026-08-02 21:57:54,page_view,tablet
12531,,s3000075,2026-08-02 21:59:43,page_view,tablet
12532,10424,s3000076,2026-08-02 12:16:41,page_view,mobile
12533,10424,s3000076,2026-08-02 12:17:28,page_view,mobile
12534,10424,s3000076,2026-08-02 12:18:49,page_view,mobile
12535,10424,s3000076,2026-08-02 12:20:19,add_to_cart,mobile
12536,10315,s3000077,2026-08-02 12:59:17,page_view,mobile
12537,10315,s3000077,2026-08-02 12:59:52,page_view,mobile
12538,,s3000078,2026-08-02 22:02:41,page_view,mobile
12539,10193,s3000079,2026-08-02 12:46:36,page_view,desktop
12540,10308,s3000080,2026-08-02 03:43:56,page_view,desktop
12541,10308,s3000080,2026-08-02 03:44:59,page_view,desktop
12542,10308,s3000080,2026-08-02 03:45:41,page_view,desktop
12543,10308,s3000080,2026-08-02 03:45:47,add_to_cart,desktop
12544,10547,s3000081,2026-08-02 13:02:54,page_view,desktop
12545,10602,s3000082,2026-08-02 16:58:59,page_view,mobile
12546,10602,s3000082,2026-08-02 16:59:39,page_view,mobile
12547,10602,s3000082,2026-08-02 17:01:20,page_view,mobile
12548,10602,s3000082,2026-08-02 17:03:16,add_to_cart,mobile
12549,10061,s3000083,2026-08-02 05:19:37,page_view,desktop
12550,10061,s3000083,2026-08-02 05:21:14,page_view,desktop
12551,10061,s3000083,2026-08-02 05:22:38,page_view,desktop
12552,10061,s3000083,2026-08-02 05:23:39,page_view,desktop
12553,10019,s3000084,2026-08-02 04:19:58,page_view,mobile
12554,10019,s3000084,2026-08-02 04:21:05,page_view,mobile
12555,10588,s3000085,2026-08-02 11:32:29,page_view,mobile
12556,10588,s3000085,2026-08-02 11:33:19,page_view,mobile
12557,10588,s3000085,2026-08-02 11:35:06,page_view,mobile
12558,10588,s3000085,2026-08-02 11:36:00,page_view,mobile
12559,,s3000086,2026-08-02 02:27:08,page_view,desktop
12560,,s3000086,2026-08-02 02:29:01,add_to_cart,desktop
12561,,s3000087,2026-08-02 00:54:24,page_view,mobile
12562,,s3000087,2026-08-02 00:55:25,page_view,mobile
12563,,s3000087,2026-08-02 00:56:17,page_view,mobile
12564,,s3000087,2026-08-02 00:57:30,page_view,mobile
12565,,s3000087,2026-08-02 00:59:16,add_to_cart,mobile
12566,,s3000087,2026-08-02 00:59:33,begin_checkout,mobile
12567,,s3000087,2026-08-02 00:59:40,purchase,mobile
12568,,s3000088,2026-08-02 10:11:07,page_view,desktop
12569,,s3000088,2026-08-02 10:12:07,page_view,desktop
12570,,s3000088,2026-08-02 10:12:38,page_view,desktop
12571,,s3000088,2026-08-02 10:14:35,page_view,desktop
12572,10493,s3000089,2026-08-02 18:52:23,page_view,desktop
12573,10493,s3000089,2026-08-02 18:52:32,page_view,desktop
12574,10493,s3000089,2026-08-02 18:53:50,add_to_cart,desktop
12575,10493,s3000089,2026-08-02 18:55:43,begin_checkout,desktop
12576,10493,s3000089,2026-08-02 18:56:06,purchase,desktop
12577,10061,s3000090,2026-08-02 11:05:57,page_view,desktop
12578,10061,s3000090,2026-08-02 11:06:50,page_view,desktop
12579,10061,s3000090,2026-08-02 11:07:08,page_view,desktop
12580,10061,s3000090,2026-08-02 11:08:44,page_view,desktop
12581,10061,s3000090,2026-08-02 11:10:04,add_to_cart,desktop
12582,10061,s3000090,2026-08-02 11:11:10,begin_checkout,desktop
12583,10230,s3000091,2026-08-02 18:31:56,page_view,desktop
12584,10230,s3000091,2026-08-02 18:32:22,page_view,desktop
12585,10344,s3000092,2026-08-02 04:34:28,page_view,mobile
12586,10344,s3000092,2026-08-02 04:34:32,page_view,mobile
12587,10344,s3000092,2026-08-02 04:35:24,page_view,mobile
12588,10344,s3000092,2026-08-02 04:36:14,page_view,mobile
12589,10344,s3000092,2026-08-02 04:36:39,add_to_cart,mobile
12590,10344,s3000092,2026-08-02 04:38:31,begin_checkout,mobile
12591,10655,s3000093,2026-08-02 03:50:48,page_view,mobile
12592,10655,s3000093,2026-08-02 03:51:12,page_view,mobile
12593,10655,s3000093,2026-08-02 03:51:33,add_to_cart,mobile
12594,,s3000094,2026-08-02 05:04:21,page_view,mobile
12595,,s3000094,2026-08-02 05:05:03,add_to_cart,mobile
12596,10478,s3000095,2026-08-02 17:12:33,page_view,mobile
12597,10478,s3000095,2026-08-02 17:13:16,page_view,mobile
12598,10478,s3000095,2026-08-02 17:14:44,page_view,mobile
12599,10478,s3000095,2026-08-02 17:15:08,page_view,mobile
12600,10348,s3000096,2026-08-02 13:31:35,page_view,mobile
12601,10348,s3000096,2026-08-02 13:32:33,add_to_cart,mobile
12602,10348,s3000096,2026-08-02 13:33:13,begin_checkout,mobile
12603,10348,s3000096,2026-08-02 13:34:00,purchase,mobile
12604,10470,s3000097,2026-08-02 16:26:15,page_view,mobile
12605,10470,s3000097,2026-08-02 16:27:12,page_view,mobile
12606,10470,s3000097,2026-08-02 16:27:25,add_to_cart,mobile
12607,10470,s3000097,2026-08-02 16:29:08,begin_checkout,mobile
12608,10470,s3000097,2026-08-02 16:29:30,purchase,mobile
12609,10070,s3000098,2026-08-02 09:25:13,page_view,mobile
12610,10640,s3000099,2026-08-02 17:23:43,page_view,Tablet
12611,10640,s3000099,2026-08-02 17:23:53,page_view,Tablet
12612,10640,s3000099,2026-08-02 17:24:53,page_view,Tablet
12613,10640,s3000099,2026-08-02 17:26:24,page_view,Tablet
12614,10640,s3000099,2026-08-02 17:27:09,add_to_cart,Tablet
12615,10640,s3000099,2026-08-02 17:27:49,begin_checkout,Tablet
12616,10640,s3000099,2026-08-02 17:27:57,purchase,Tablet
12617,10300,s3000100,2026-08-02 11:57:05,page_view,desktop
12618,10300,s3000100,2026-08-02 11:57:20,page_view,desktop
12619,10300,s3000100,2026-08-02 11:57:38,page_view,desktop
12620,10025,s3000101,2026-08-02 16:01:27,page_view,tablet
12621,10025,s3000101,2026-08-02 16:01:31,page_view,tablet
12622,,s3000102,2026-08-02 04:23:58,page_view,desktop
12623,,s3000102,2026-08-02 04:24:27,page_view,desktop
12624,,s3000102,2026-08-02 04:25:34,page_view,desktop
12625,10649,s3000103,2026-08-03 03:27:42,page_view,desktop
12626,10649,s3000103,2026-08-03 03:28:36,page_view,desktop
12627,,s3000104,2026-08-03 11:48:10,page_view,mobile
12628,,s3000104,2026-08-03 11:48:27,page_view,mobile
12629,,s3000105,2026-08-03 01:10:17,page_view,mobile
12630,,s3000105,2026-08-03 01:12:04,page_view,mobile
12631,,s3000105,2026-08-03 01:13:10,page_view,mobile
12632,,s3000105,2026-08-03 01:14:42,add_to_cart,mobile
12633,10672,s3000106,2026-08-03 08:19:02,page_view,mobile
12634,10672,s3000106,2026-08-03 08:19:29,page_view,mobile
12635,10672,s3000106,2026-08-03 08:21:07,page_view,mobile
12636,,s3000107,2026-08-03 21:45:09,page_view,desktop
12637,,s3000107,2026-08-03 21:45:38,page_view,desktop
12638,,s3000107,2026-08-03 21:46:07,page_view,desktop
12639,,s3000108,2026-08-03 13:21:37,page_view,desktop
12640,10287,s3000109,2026-08-03 02:06:46,page_view,mobile
12641,,s3000110,2026-08-03 08:38:20,page_view,mobile
12642,,s3000110,2026-08-03 08:39:56,page_view,mobile
12643,,s3000110,2026-08-03 08:40:34,page_view,mobile
12644,,s3000110,2026-08-03 08:42:10,page_view,mobile
12645,,s3000111,2026-08-03 19:18:00,page_view,mobile
12646,,s3000111,2026-08-03 19:18:18,page_view,mobile
12647,,s3000111,2026-08-03 19:20:12,add_to_cart,mobile
12648,10492,s3000112,2026-08-03 20:49:31,page_view,mobile
12649,10492,s3000112,2026-08-03 20:51:19,add_to_cart,mobile
12650,10026,s3000113,2026-08-03 01:00:04,page_view,desktop
12651,10504,s3000114,2026-08-03 11:04:11,page_view,mobile
12652,10504,s3000114,2026-08-03 11:05:42,page_view,mobile
12653,10504,s3000114,2026-08-03 11:07:31,add_to_cart,mobile
12654,10438,s3000115,2026-08-03 12:26:47,page_view,desktop
12655,10438,s3000115,2026-08-03 12:27:20,page_view,desktop
12656,,s3000116,2026-08-03 06:39:38,page_view,Mobile
12657,,s3000116,2026-08-03 06:41:37,page_view,Mobile
12658,,s3000116,2026-08-03 06:42:21,page_view,Mobile
12659,,s3000117,2026-08-03 16:09:42,page_view,Mobile
12660,,s3000117,2026-08-03 16:10:57,page_view,Mobile
12661,,s3000117,2026-08-03 16:11:15,page_view,Mobile
12662,,s3000117,2026-08-03 16:11:55,page_view,Mobile
12663,,s3000117,2026-08-03 16:13:25,add_to_cart,Mobile
12664,,s3000117,2026-08-03 16:13:33,begin_checkout,Mobile
12665,,s3000117,2026-08-03 16:14:55,purchase,Mobile
12666,,s3000118,2026-08-03 12:36:56,page_view,desktop
12667,,s3000118,2026-08-03 12:37:02,add_to_cart,desktop
12668,10086,s3000119,2026-08-03 01:04:38,page_view,desktop
12669,10086,s3000119,2026-08-03 01:06:33,page_view,desktop
12670,10254,s3000120,2026-08-03 09:21:37,page_view,mobile
12671,10254,s3000120,2026-08-03 09:22:41,page_view,mobile
12672,10254,s3000120,2026-08-03 09:23:54,page_view,mobile
12673,10024,s3000121,2026-08-03 10:53:00,page_view,mobile
12674,10024,s3000121,2026-08-03 10:53:34,add_to_cart,mobile
12675,,s3000122,2026-08-03 15:57:16,page_view,tablet
12676,,s3000122,2026-08-03 15:58:33,page_view,tablet
12677,,s3000122,2026-08-03 15:59:33,page_view,tablet
12678,,s3000122,2026-08-03 16:00:19,page_view,tablet
12679,10436,s3000123,2026-08-03 02:16:40,page_view,tablet
12680,10436,s3000123,2026-08-03 02:17:19,page_view,tablet
12681,10436,s3000123,2026-08-03 02:18:19,page_view,tablet
12682,10436,s3000123,2026-08-03 02:19:38,page_view,tablet
12683,,s3000124,2026-08-03 11:31:19,page_view,desktop
12684,,s3000124,2026-08-03 11:31:48,page_view,desktop
12685,,s3000124,2026-08-03 11:32:49,page_view,desktop
12686,,s3000124,2026-08-03 11:33:31,page_view,desktop
12687,,s3000125,2026-08-03 06:24:05,page_view,mobile
12688,,s3000126,2026-08-03 10:08:12,page_view,Desktop
12689,,s3000127,2026-08-03 11:43:22,page_view,mobile
12690,,s3000127,2026-08-03 11:43:44,page_view,mobile
12691,,s3000127,2026-08-03 11:44:03,page_view,mobile
12692,,s3000127,2026-08-03 11:44:11,page_view,mobile
12693,,s3000127,2026-08-03 11:44:14,add_to_cart,mobile
12694,10356,s3000128,2026-08-03 13:56:10,page_view,mobile
12695,10356,s3000128,2026-08-03 13:56:46,page_view,mobile
12696,10356,s3000128,2026-08-03 13:58:12,page_view,mobile
12697,10356,s3000128,2026-08-03 13:59:03,page_view,mobile
12698,10356,s3000128,2026-08-03 14:00:59,add_to_cart,mobile
12699,10358,s3000129,2026-08-03 13:12:07,page_view,desktop
12700,10358,s3000129,2026-08-03 13:13:42,page_view,desktop
12701,10358,s3000129,2026-08-03 13:14:52,page_view,desktop
12702,10374,s3000130,2026-08-03 17:35:06,page_view,mobile
12703,10374,s3000130,2026-08-03 17:36:44,page_view,mobile
12704,,s3000131,2026-08-03 09:56:39,page_view,mobile
12705,,s3000131,2026-08-03 09:56:45,page_view,mobile
12706,,s3000131,2026-08-03 09:57:52,page_view,mobile
12707,,s3000131,2026-08-03 09:59:01,page_view,mobile
12708,,s3000132,2026-08-03 04:01:14,page_view,desktop
12709,,s3000132,2026-08-03 04:01:43,page_view,desktop
12710,,s3000132,2026-08-03 04:01:58,page_view,desktop
12711,,s3000132,2026-08-03 04:02:09,page_view,desktop
12712,,s3000132,2026-08-03 04:03:22,add_to_cart,desktop
12713,,s3000132,2026-08-03 04:05:00,begin_checkout,desktop
12714,,s3000132,2026-08-03 04:05:32,purchase,desktop
12715,10659,s3000133,2026-08-03 17:10:42,page_view,desktop
12716,10659,s3000133,2026-08-03 17:11:13,page_view,desktop
12717,10659,s3000133,2026-08-03 17:11:52,page_view,desktop
12718,10659,s3000133,2026-08-03 17:13:05,add_to_cart,desktop
12719,,s3000134,2026-08-03 16:08:13,page_view,desktop
12720,,s3000134,2026-08-03 16:09:37,page_view,desktop
12721,,s3000134,2026-08-03 16:10:54,page_view,desktop
12722,,s3000134,2026-08-03 16:11:35,page_view,desktop
12723,10008,s3000135,2026-08-03 17:29:00,page_view,tablet
12724,10124,s3000136,2026-08-03 18:14:55,page_view,mobile
12725,10124,s3000136,2026-08-03 18:16:46,page_view,mobile
12726,10228,s3000137,2026-08-03 08:37:42,page_view,desktop
12727,10228,s3000137,2026-08-03 08:39:39,page_view,desktop
12728,10228,s3000137,2026-08-03 08:41:34,page_view,desktop
